epoch,train_loss,val_loss
1,0.005279673729091883,0.0015029320493340492
2,0.0023916917853057384,0.00167407700791955
3,0.0016373115358874202,0.0016786935739219189
4,0.0016216617077589035,0.0016800485318526626
5,0.0016195058124139905,0.001680278335697949
6,0.0016181661048904061,0.0016803242033347487
7,0.001617706031538546,0.0016803356120362878
8,0.0016173520125448704,0.0016803392209112644
9,0.00161696074064821,0.0016803405014798045
10,0.0016169983427971601,0.00168034085072577
11,0.0016170140588656068,0.0016803413163870573
