epoch,train_loss,val_loss
1,127.01111602783203,5.676122665405273
2,9.040492057800293,5.598210334777832
3,6.714822769165039,6.0668110847473145
4,6.428001880645752,5.734978675842285
5,6.020922660827637,5.057515621185303
6,5.365211009979248,4.219882011413574
7,4.5744709968566895,3.1725313663482666
8,5.637171268463135,2.5032408237457275
9,7.0155839920043945,2.584962844848633
10,4.779272079467773,3.058197021484375
11,3.1100449562072754,3.311692237854004
12,2.9776766300201416,3.118162155151367
13,2.811340808868408,2.6057658195495605
14,2.293208599090576,1.6828079223632812
15,1.8167424201965332,0.5831745266914368
16,1.1095186471939087,-0.12371259927749634
17,1.0699853897094727,-0.35222816467285156
18,0.6849263906478882,-0.1813499629497528
19,0.1507471799850464,-0.07167252898216248
20,-0.08578544855117798,-0.2663480341434479
21,-0.32087433338165283,-0.5879122018814087
22,-0.5873754620552063,-0.7330937385559082
23,-0.787930965423584,-0.6290485858917236
24,-0.9323692321777344,-0.365400493144989
25,-1.0726737976074219,-0.2825280427932739
26,-1.1752053499221802,-0.4328900873661041
27,-1.2794132232666016,-0.647058367729187
28,-1.3397789001464844,-0.6871711015701294
29,-1.3370784521102905,-0.5807151198387146
30,-1.4071979522705078,-0.6338604688644409
31,-1.4996954202651978,-0.8852167725563049
32,-1.558252215385437,-1.1131281852722168
33,-1.59749436378479,-1.182361125946045
34,-1.6110868453979492,-1.0883795022964478
35,-1.6360642910003662,-1.041279673576355
36,-1.6538695096969604,-1.182551383972168
37,-1.688234806060791,-1.4554574489593506
38,-1.6836637258529663,-1.5604307651519775
39,-1.6737076044082642,-1.52108895778656
40,-1.7030706405639648,-1.3583992719650269
41,-1.7406718730926514,-1.3347355127334595
42,-1.7433358430862427,-1.4529658555984497
43,-1.7707111835479736,-1.5984233617782593
44,-1.7504154443740845,-1.6126580238342285
45,-1.7805665731430054,-1.5132964849472046
46,-1.7929567098617554,-1.4747841358184814
47,-1.7988113164901733,-1.5729821920394897
48,-1.8168692588806152,-1.7136270999908447
49,-1.7943896055221558,-1.73064386844635
50,-1.8193635940551758,-1.6361374855041504
51,-1.8355393409729004,-1.6408032178878784
52,-1.8428720235824585,-1.7728796005249023
53,-1.8365367650985718,-1.7825428247451782
54,-1.8629944324493408,-1.6963485479354858
55,-1.8634177446365356,-1.7398781776428223
56,-1.7801445722579956,-1.8666809797286987
57,-1.8047800064086914,-1.8944529294967651
58,-1.8795702457427979,-1.8151428699493408
59,-1.8764277696609497,-1.771459698677063
60,-1.8823840618133545,-1.8487638235092163
61,-1.8965933322906494,-1.952898383140564
62,-1.8932247161865234,-1.9398069381713867
63,-1.8885877132415771,-1.8196702003479004
64,-1.7743306159973145,-1.8263517618179321
65,-1.9042845964431763,-1.9446747303009033
66,-1.8293814659118652,-2.010032892227173
67,-1.8654874563217163,-2.005398750305176
68,-1.9014654159545898,-1.9302350282669067
69,-1.934767484664917,-1.9566410779953003
70,-1.9454290866851807,-2.067988395690918
71,-1.9424057006835938,-2.0812392234802246
72,-1.963076114654541,-2.073540449142456
73,-1.9930880069732666,-2.184757709503174
74,-2.030989646911621,-2.4157822132110596
75,-2.0706725120544434,-2.4909112453460693
76,-2.1418662071228027,-2.339552879333496
77,-2.1921498775482178,-2.364454746246338
78,-2.2622530460357666,-2.5282137393951416
79,-2.3424758911132812,-2.708998680114746
80,-2.368201971054077,-2.801595449447632
