epoch,train_loss,val_loss
1,0.006589055992662907,0.007188672665506601
2,0.0050928411073982716,0.0016698346007615328
3,0.0027408068999648094,0.0016803398029878736
4,0.0017096418887376785,0.0016803413163870573
5,0.0016188746085390449,0.0016803413163870573
6,0.0016164102125912905,0.0016803413163870573
7,0.0016165096312761307,0.0016803413163870573
8,0.0016165125416591763,0.0016803413163870573
9,0.00161651277448982,0.0016803413163870573
10,0.00161651277448982,0.0016803413163870573
11,0.00161651277448982,0.0016803413163870573
12,0.00161651277448982,0.0016803413163870573
