epoch,train_loss,val_loss
1,0.0023532602936029434,0.0016799703007563949
2,0.001631737919524312,0.0016803020844236016
3,0.0016172750620171428,0.0016803311882540584
4,0.0016173197655007243,0.0016803380567580462
5,0.0016169990412890911,0.001680340152233839
6,0.0016166393179446459,0.00168034085072577
7,0.0016167087014764547,0.0016803413163870573
8,0.0016166763380169868,0.0016803413163870573
9,0.00161659624427557,0.0016803413163870573
10,0.001616564579308033,0.0016803413163870573
11,0.0016165536362677813,0.0016803413163870573
