rmse,mae,r2,pearson,spearman,bin_low,bin_high,count
0.004377776481895947,0.003355454420670867,-1.4110567569732666,0.00768160680308938,0.3332823463931013,0.0,0.01,37982
0.023513819937719477,0.02161482162773609,-5.479060173034668,-0.009202138520777225,0.11109204075372729,0.01,0.05,20513
0.06644227649451401,0.06518671661615372,-25.63656997680664,0.055416300892829895,0.18645724067635092,0.05,0.1,1329
0.12346867894894992,0.12267505377531052,-77.36433410644531,-0.018299328163266182,0.12515052197557952,0.1,0.25,291
