feature,pearson,spearman
row_norm,0.20090425321834304,0.292255658718383
CFL.img,0.06745863622125829,0.1263227988520077
col_norm,-0.004796241220146423,0.11743843843655817
Ignition_Prob.img,0.02999797419717202,0.04403067763819838
FSP_Index.img,0.021461518596976946,0.03326834878570158
Struct_Exp_Index.img,0.021461518596976946,0.03326834878570158
Fuel_Models.img,-0.15160807868263956,-0.25058898760636245
