feature_set,num_features,rmse,mae,r2,pearson,spearman
all_features,171,0.019291569399322417,0.011530621908605099,-0.5526999235153198,0.011346101760864258,0.4226707194576801
raw_only,7,0.019322906845286068,0.011564611457288265,-0.5577483177185059,0.17940571904182434,0.3937543179485159
raw_plus_degree,8,0.01932822896245984,0.011571157723665237,-0.5586066246032715,0.09507955610752106,0.4052062665689001
raw_plus_mean_std,24,0.01910754024815402,0.011304069310426712,-0.5232176780700684,0.18334126472473145,0.39212969248758023
full_engineered,171,0.01932014129570915,0.011560686863958836,-0.5573024749755859,0.01967393234372139,0.43430265492749787
no_coordinates,169,0.019328145392150036,0.011570877395570278,-0.5585931539535522,-0.005432941950857639,0.43596492633305417
no_fuel,148,0.03711895599409641,0.03343901038169861,-4.748359203338623,0.06322067230939865,0.05672033457681758
coordinates_only,2,0.018557396176539794,0.014792894944548607,-0.43676745891571045,0.2668484151363373,0.3931644764795983
