feature,train_mean,val_mean,test_mean,train_std,val_std,test_std
CFL.img,0.011040335237514236,-0.01684483006459061,-0.02516815622590038,0.9639878861253619,1.052867628106666,1.076865441629323
FSP_Index.img,-0.006437876739821344,-0.026410538499140414,0.039218113766697184,1.0486526151194893,1.1493601390219996,0.6709930014022245
Ignition_Prob.img,-0.00896350552378959,-0.034541398418804964,0.05309307129242452,1.0463615836242641,1.149791004168801,0.6809679886456748
Struct_Exp_Index.img,-0.006437876739821344,-0.026410538499140414,0.039218113766697184,1.0486526151194893,1.1493601390219996,0.6709930014022245
Fuel_Models.img,137.50607279318362,134.5688393339555,138.65193379356234,28.525573012671586,27.04147394369065,32.04284170720085
row_norm,0.46345262880075416,0.3582029712229972,0.2698901092231723,0.26079393697521525,0.10338267645234192,0.1948897907785557
col_norm,0.4185120406869361,0.28891932715766006,0.29645146065524414,0.19700536479493866,0.1509393276379647,0.12666151282688282
target,0.028107927850170737,0.030748346435273927,0.011571160534987475,0.03642000725907912,0.03268966120317889,0.015482012371568871
row_index,880.0965420978375,680.2274424087627,512.5213174748399,495.2476862818678,196.32370199175176,370.09571253208964
col_index,790.1507328021208,545.4796895721794,559.7003576478417,371.9461285404499,284.97345050508466,239.13693592765614
