epoch,train_loss,val_loss
1,0.003260875353589654,0.0016766887856647372
2,0.0017061327816918492,0.0016799155855551362
3,0.0016226446023210883,0.0016802483005449176
4,0.0016204244457185268,0.001680313958786428
5,0.0016202508704736829,0.0016803324688225985
6,0.0016195205971598625,0.0016803379403427243
7,0.0016189862508326769,0.0016803398029878736
8,0.0016185981221497059,0.0016803405014798045
9,0.001617991947568953,0.00168034085072577
10,0.0016178556252270937,0.0016803413163870573
11,0.0016179464291781187,0.0016803413163870573
