epoch,train_loss,val_loss
1,0.0026023262180387974,0.0016784145263954997
2,0.0016381829045712948,0.0016799730947241187
3,0.001618868438526988,0.0016802361933514476
4,0.0016181707615032792,0.0016803063917905092
5,0.001617636065930128,0.0016803278122097254
6,0.0016171681927517056,0.0016803356120362878
7,0.0016171617899090052,0.0016803386388346553
8,0.0016165697015821934,0.0016803399194031954
9,0.0016167121939361095,0.0016803405014798045
10,0.0016168606234714389,0.00168034085072577
11,0.0016166346613317728,0.0016803410835564137
