model,split_type,data_split,rmse,mae,r2,pearson,spearman
cnn,random,val,0.02257551120359323,0.015514523722231388,0.8194840550422668,0.9122190475463867,0.9315341795527632
cnn,random,test,0.02259323172210617,0.015525762923061848,0.8218045830726624,0.9142122268676758,0.9329583507120703
cnn,spatial,val,0.02559982825450731,0.020139440894126892,0.7051510214805603,0.846233069896698,0.8741011777331843
cnn,spatial,test,0.018483876959047775,0.015531470999121666,0.4875198006629944,0.848472535610199,0.800038359041351
