rmse,mae,r2,pearson,spearman,bin_low,bin_high,count
0.0323801894385244,0.030459709465503693,-130.90432739257812,0.235615536570549,0.2805380305257654,0.0,0.01,37982
0.024692533927079416,0.0219940934330225,-6.144913673400879,0.09928131103515625,0.16239522861738345,0.01,0.05,20513
0.02986133129035773,0.02553746849298477,-4.380314350128174,0.05460510402917862,0.06068326719703116,0.05,0.1,1329
0.08004852945928922,0.0782548114657402,-31.9390869140625,0.06973246484994888,0.07888976720958822,0.1,0.25,291
