rmse,mae,r2,pearson,spearman,bin_low,bin_high,count
0.004398118482201684,0.0033757630735635757,-1.4335155487060547,0.12759451568126678,0.31502503619127065,0.0,0.01,37982
0.023572752530882382,0.021687299013137817,-5.51157808303833,0.02086164988577366,0.10588090170835901,0.01,0.05,20513
0.06651138650106916,0.0652536153793335,-25.692012786865234,0.09212718904018402,0.10673998863591051,0.05,0.1,1329
0.12357116822670394,0.12278152257204056,-77.4944839477539,0.11464910954236984,0.13258229904379637,0.1,0.25,291
