feature,min,max,mean,std
CFL.img,-11.1829195,0.16781202,3.967285e-09,1.0
FSP_Index.img,-30.038822,0.07234921,2.2125244e-09,1.0000001
Ignition_Prob.img,-18.3059,0.0964806,-9.6639e-09,1.0
Struct_Exp_Index.img,-30.038822,0.07234921,2.2125244e-09,1.0000001
Fuel_Models.img,91.0,189.0,137.33702,29.09641
row_norm,0.0015797789,0.9989468,0.41038075,0.24578287
col_norm,0.001588983,0.998411,0.37646395,0.18859982
