epoch,train_loss,val_loss
1,0.05026324838399887,0.09570853412151337
2,0.05010197311639786,0.0956973284482956
3,0.04995082691311836,0.09567536413669586
4,0.04980615898966789,0.09563720226287842
5,0.04967031627893448,0.09558182954788208
6,0.04952589049935341,0.09550976753234863
7,0.04937399551272392,0.09542090445756912
8,0.0492175929248333,0.09531428664922714
9,0.04905213043093681,0.0951874777674675
10,0.0488751195371151,0.09503775089979172
11,0.0486944355070591,0.09486158192157745
12,0.04849773645401001,0.0946565717458725
13,0.048291098326444626,0.0944209173321724
14,0.04808518663048744,0.09415435791015625
15,0.04787745699286461,0.09385694563388824
16,0.047673549503088,0.09353078156709671
17,0.04748019203543663,0.09318063408136368
18,0.047292549163103104,0.0928129181265831
19,0.04711611568927765,0.09243672341108322
20,0.04695979505777359,0.09206212311983109
21,0.0468137226998806,0.09169816970825195
22,0.04669000580906868,0.09135203063488007
23,0.04657229408621788,0.09102783352136612
24,0.04647082835435867,0.09072883427143097
25,0.04637566953897476,0.09045490622520447
26,0.046293068677186966,0.09020283818244934
27,0.046223074197769165,0.0899713784456253
28,0.046154145151376724,0.0897579938173294
29,0.046091120690107346,0.0895608589053154
30,0.04603949934244156,0.08937671035528183
31,0.04599137231707573,0.08920509368181229
32,0.04594959691166878,0.08904623240232468
33,0.0459073968231678,0.08890186250209808
34,0.04587053135037422,0.08877222239971161
35,0.04584427922964096,0.08865857869386673
36,0.0458148717880249,0.08856173604726791
37,0.04578950256109238,0.08848031610250473
38,0.04576611891388893,0.08841310441493988
39,0.045745670795440674,0.08835891634225845
40,0.04571922868490219,0.08831574022769928
41,0.04570487141609192,0.0882822573184967
42,0.04568486660718918,0.08825711905956268
43,0.0456727035343647,0.08823920041322708
44,0.045653995126485825,0.08822701871395111
45,0.045639414340257645,0.08821938186883926
46,0.04562843590974808,0.08821501582860947
47,0.04561177268624306,0.08821303397417068
48,0.04560232535004616,0.08821214735507965
49,0.04558722302317619,0.08821136504411697
50,0.04557379335165024,0.08820969611406326
51,0.045561566948890686,0.08820675313472748
52,0.04555290937423706,0.08820215612649918
53,0.0455428846180439,0.08819575607776642
54,0.045534007251262665,0.08818620443344116
55,0.04552628472447395,0.08817563205957413
56,0.04551437497138977,0.08816411346197128
57,0.045509517192840576,0.08815233409404755
58,0.04550127685070038,0.08814074844121933
59,0.04549723491072655,0.08812928199768066
60,0.04549294337630272,0.08811892569065094
61,0.04547785595059395,0.08810995519161224
62,0.04547838866710663,0.08810228854417801
63,0.04547043889760971,0.0880962684750557
64,0.04546200856566429,0.08809199929237366
65,0.04545842111110687,0.08808939903974533
66,0.0454510934650898,0.08808808028697968
67,0.04545068368315697,0.08808787912130356
68,0.04544338583946228,0.08808828890323639
69,0.045434340834617615,0.08808884024620056
70,0.04542872682213783,0.08808983117341995
71,0.045423440635204315,0.08809050917625427
72,0.04541750252246857,0.08809047937393188
73,0.04541082680225372,0.08808925747871399
74,0.04540368542075157,0.08808612078428268
75,0.045399509370326996,0.0880822092294693
76,0.04539274796843529,0.08807743340730667
77,0.04538564756512642,0.08807196468114853
78,0.04538016766309738,0.08806650340557098
79,0.04537835344672203,0.08806108683347702
80,0.04537324607372284,0.08805543929338455
