model,split_type,data_split,rmse,mae,r2,pearson,spearman,ece_reg,coverage_95
gcn,spatial,train,0.18400233033313895,0.1787937730550766,-29.84305191040039,0.14100529253482819,0.26522657764787144,0.18570571288065696,1.0
gcn,spatial,val,0.17605838651560904,0.17185083031654358,-75.26895141601562,0.05046911537647247,0.04136346118071111,0.1851375592904002,1.0
gcn,spatial,test,0.19014923767663763,0.18448327481746674,-21.14878273010254,0.2070353776216507,0.4001634986548893,0.1824260724965705,1.0
